title,url,date_published,snippet,body,text
Why Republicans Campaign on Guns While Democrats Choose Not To - The New York Times,https://www.nytimes.com/2022/05/25/us/politics/republicans-campaign-guns.html,2022-05-25T23:12:53Z,"For Republicans, brandishing firepower is a visual shorthand for hard-core conservatism. Democrats see little gain in highlighting an issue on which their party hasn’t been able to get much done.","Within hours after the Texas shooting, shaken Democrats in Washington vowed to try again to pursue a compromise with Republicans on gun legislation that could move through the divided Senate. But the… [+1905 chars]",why republicans campaign on guns while democrats choose not to the new york times for republicans brandishing firepower is a visual shorthand for hard core conservatism democrats see little gain in highlighting an issue on which their party hasn t been able to get much done within hours after the texas shooting shaken democrats in washington vowed to try again to pursue a compromise with republicans on gun legislation that could move through the divided senate but the 
"‘White Supremacy Is a Poison,’ Biden Says in Address: Buffalo Shooting Updates - The New York Times",https://www.nytimes.com/live/2022/05/17/nyregion/buffalo-shooting,2022-05-17T18:02:04Z,"<ol><li>‘White Supremacy Is a Poison,’ Biden Says in Address: Buffalo Shooting Updates  The New York Times
</li><li>Investigation Underway In Buffalo Supermarket Shooting  NBC News
</li><li>In Buffalo, Biden to confront the racism he's vowed to fight  The A…","President Biden traveled to Buffalo on Tuesday to meet families of the victims of the shooting, as well as local law enforcement, first responders and community leaders. The president was joined by s… [+10992 chars]", white supremacy is a poison biden says in address buffalo shooting updates the new york times white supremacy is a poison biden says in address buffalo shooting updates the new york times investigation underway in buffalo supermarket shooting nbc news in buffalo biden to confront the racism he s vowed to fight the a president biden traveled to buffalo on tuesday to meet families of the victims of the shooting as well as local law enforcement first responders and community leaders the president was joined by s 
"Uvalde, Texas Elementary School Shooting News: Latest Updates - The New York Times",https://www.nytimes.com/live/2022/05/25/us/shooting-robb-elementary-uvalde,2022-05-25T13:59:36Z,"<ol><li>Uvalde, Texas Elementary School Shooting News: Latest Updates  The New York Times
</li><li>Official: Texas gunman bought two assault rifles on 18th birthday  CNN
</li><li>Hero fourth grader shot dead in Texas as she tried to call 911: grandmother  N…","I guess its something in society we know will happen again, over and over, said Neil Heslin, whose 6-year-old son, Jesse Lewis, died in the Sandy Hook Elementary School shooting in 2012.The misery mo… [+6041 chars]",uvalde texas elementary school shooting news latest updates the new york times uvalde texas elementary school shooting news latest updates the new york times official texas gunman bought two assault rifles on 18th birthday cnn hero fourth grader shot dead in texas as she tried to call 911 grandmother n i guess its something in society we know will happen again over and over said neil heslin whose 6 year old son jesse lewis died in the sandy hook elementary school shooting in 2012 the misery mo 
Where Senate Republicans Stand on Gun Legislation,https://www.nytimes.com/interactive/2022/05/25/us/gun-control-republican-senators.html,2022-05-26T16:50:01Z,"The New York Times reached out on Wednesday to all 50 Republicans in the Senate to see whether they would support a pair of House-passed measures to strengthen background checks for gun buyers. Within hours of the elementary school shooting in Uvalde, Texas, …",The New York Times reached out on Wednesday to all 50 Republicans in the Senate to see whether they would support a pair of House-passed measures to strengthen background checks for gun buyers. Withi… [+772 chars],where senate republicans stand on gun legislation the new york times reached out on wednesday to all 50 republicans in the senate to see whether they would support a pair of house passed measures to strengthen background checks for gun buyers within hours of the elementary school shooting in uvalde texas the new york times reached out on wednesday to all 50 republicans in the senate to see whether they would support a pair of house passed measures to strengthen background checks for gun buyers withi 
The Mass Shootings Where Stricter Gun Laws Might Have Made a Difference,https://www.nytimes.com/interactive/2022/06/04/upshot/mass-shooting-gun-laws.html,2022-06-04T18:00:02Z,"If the key gun control proposals now being considered in Congress had been law since 1999, four gunmen younger than 21 would have been blocked from legally buying the rifles they used in mass shootings. At least four other assailants would have been subject t…","If the key gun control proposals now being considered in Congress had been law since 1999, four gunmen younger than 21 would have been blocked from legally buying the rifles they used in mass shootin… [+17629 chars]",the mass shootings where stricter gun laws might have made a difference if the key gun control proposals now being considered in congress had been law since 1999 four gunmen younger than 21 would have been blocked from legally buying the rifles they used in mass shootings at least four other assailants would have been subject t if the key gun control proposals now being considered in congress had been law since 1999 four gunmen younger than 21 would have been blocked from legally buying the rifles they used in mass shootin 
Live Updates: Biden to Deliver Remarks on Gun Control,https://www.nytimes.com/live/2022/06/02/us/biden-gun-control-speech,2022-06-03T00:15:02Z,"The Gun Violence Archive, a nonprofit organization, counted at least 232 such shootings, defined as one in which four or more people were killed or injured, through the end of May. Of those shootings, 11 involved four or more fatalities. The group recorded 69…","WASHINGTON The two young men accused of carrying out the massacres in Buffalo and Uvalde followed a familiar path: They legally bought semiautomatic rifles right after turning 18, posted images inten… [+11532 chars]",live updates biden to deliver remarks on gun control the gun violence archive a nonprofit organization counted at least 232 such shootings defined as one in which four or more people were killed or injured through the end of may of those shootings 11 involved four or more fatalities the group recorded 69 washington the two young men accused of carrying out the massacres in buffalo and uvalde followed a familiar path they legally bought semiautomatic rifles right after turning 18 images inten 
Texas School Shooting News: Biden Visits Texas,https://www.nytimes.com/live/2022/05/29/us/shooting-texas-school-uvalde,2022-05-29T13:29:47Z,The president and first lady plan to visit families and attend church services in Uvalde. The community is debating the role of guns and a commander’s decision not to enter the classrooms.,"UVALDE, Texas From the first minutes after a gunman began shooting, officers descended on Robb Elementary School. Local police from the town of Uvalde. County sheriffs deputies. Agents from the feder… [+11324 chars]",texas school shooting news biden visits texas the president and first lady plan to visit families and attend church services in uvalde the community is debating the role of guns and a commander s decision not to enter the classrooms uvalde texas from the first minutes after a gunman began shooting officers descended on robb elementary school local police from the town of uvalde county sheriffs deputies agents from the feder 
Ted Cruz Digs In Against Gun Control After Texas Shooting,https://www.nytimes.com/2022/05/25/us/politics/ted-cruz-texas-shooting.html,2022-05-25T22:29:12Z,"After the mass shooting at an elementary school in his home state, the senator called for armed law enforcement on campuses and faulted Democrats for politicizing the issue.","In 2013, he introduced legislation with Senator Charles E. Grassley, Republican of Iowa, that would have incentivized states through grants to submit mental health records to the database that is use… [+2017 chars]",ted cruz digs in against gun control after texas shooting after the mass shooting at an elementary school in his home state the senator called for armed law enforcement on campuses and faulted democrats for politicizing the issue in 2013 he introduced legislation with senator charles e grassley republican of iowa that would have incentivized states through grants to submit mental health records to the database that is use 
The Husband of a Teacher Killed in Texas School Shooting Has Died,https://www.nytimes.com/2022/05/26/us/irma-garcia-husband-death-uvalde.html,2022-05-26T20:06:02Z,"The couple had been married for 24 years and had four children, with the oldest 23 and the others teenagers.","Joe Garcia, the husband of Irma Garcia, one of the two teachers killed in the massacre at Robb Elementary School in Uvalde, Texas, died on Thursday of a heart attack, said his nephew, John Martinez. … [+978 chars]",the husband of a teacher killed in texas school shooting has died the couple had been married for 24 years and had four children with the oldest 23 and the others teenagers joe garcia the husband of irma garcia one of the two teachers killed in the massacre at robb elementary school in uvalde texas died on thursday of a heart attack said his nephew john martinez 
Church Shooting in Alabama Leaves Two Dead and One Wounded,https://www.nytimes.com/2022/06/16/us/vestavia-hills-alabama-church-shooting.html,2022-06-17T03:02:39Z,"A suspect was in custody after the shooting at an Episcopal church in Vestavia Hills, the police said.","Gov. Kay Ivey of Alabama called the shooting a tragic loss of life.
This should never happen in a church, in a store, in the city or anywhere, she said.
The shooting comes amid a nationwide explosi… [+848 chars]",church shooting in alabama leaves two dead and one wounded a suspect was in custody after the shooting at an episcopal church in vestavia hills the police said gov kay ivey of alabama called the shooting a tragic loss of life this should never happen in a church in a store in the city or anywhere she said the shooting comes amid a nationwide explosi 
